Year	Month	Date	Country	Area	Location	Type	Species	Number of victims	Age	Injury	Activity	Fatal (Y/N)	Sex	Season
1928	Nov	18-Nov-28	USA	New Jersey	Seabright, Monmouth County	Provoked	"""Blue nose sharks"""	1.0	[nan]	['Fishermen were cut & bruised by netted, harpooned and gaffed  sharks PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Autumn
1929	Apr	11-Apr-29	AUSTRALIA	Queensland	Bribie Passage, Caloundra	Provoked	Grey nurse shark, 4' 	1.0	['19']	['Right calf severely bitten by shark caught in the net PROVOKED INCIDENT']	['Standing in knee-deep water']	['N']	['M']	Spring
1929	Dec	16-Dec-29	AUSTRALIA	New South Wales	Collaroy	Unprovoked	"""a small shark"""	1.0	['17']	['Superficial lacerations on right leg']	['Bathing or body surfing ']	['N']	['F']	Winter
1929	Dec	26-Dec-29	AUSTRALIA	New South Wales	White Bay, near Bald Rock Jetty, Sydney Harbor 	Unprovoked	Tiger shark	1.0	['16']	['FATAL, left arm severed above elbow, lacerations on chest, right thumb severed, left thigh lacerated to bone, abrasions  ']	['Diving by wharf']	['Y']	['M']	Winter
1929	Feb	09-Feb-29	AUSTRALIA	Western Australia	Glenelg	Boating	Blue pointer, 12'	1.0	[nan]	['No injury, shark pushed canoe from jetty to a point 100 m away']	['Canoeing']	['N']	[nan]	Winter
1929	Jan	12-Jan-29	AUSTRALIA	New South Wales	Bondi	Unprovoked	12' shark	1.0	['14']	['FATAL, right thigh & hip bitten']	['Body surfing']	['Y']	['M']	Winter
1929	Jul	Reported 17-Jul-1929	CAPE VERDE	Santiago Island	Tarrafal	Invalid	15' shark	1.0	[nan]	['Body of woman recovered from shark']	[nan]	['Y']	['F']	Summer
1929	Jun	23-Jun-29	USA	Florida	Fort Pierce, St Lucie County	Provoked	9-foot shark	1.0	[nan]	['Leg bitten by hooked shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Summer
1929	Mar	04-Mar-29	AUSTRALIA	South Australia	Ardrossan	Unprovoked	"""a dog shark"""	1.0	['9', '12']	['Foot bitten', 'Legs bitten']	['Launching rowboat through the surf', 'Launching rowboat through the surf']	['N', 'N']	['M', 'M']	Spring
1930	Apr	08-Apr-30	SOUTH AFRICA	Eastern Cape Province	Bashee River	Invalid	"250-lb female ""blue fin"" shark"	1.0	['17']	['Remains of drowning victim recovered from shark']	[nan]	['Y']	['M']	Spring
1930	Dec	02-Dec-30	AUSTRALIA	Victoria	Rosebud	Boating	7 shark's teeth found embedded in the woodwork of the boat	1.0	[nan]	['No injury to occupants; shark seized gunwale & tried to overturn boat']	['Fishing']	['N']	[nan]	Winter
1930	Feb	15-Feb-30	AUSTRALIA	Victoria	Middle Brighton, Port Phillip	Unprovoked	White shark 4.9 m [16'] 	1.0	['18']	['FATAL']	['Diving off pier & treading water']	['Y']	['M']	Winter
1930	Jan	16-Jan-30	SOUTH AFRICA	Western Cape Province	Melkbaai, False Bay	Unprovoked	"White shark, 4.5 m [14'9""], identity confirmed by witness & tooth pattern"	1.0	['23']	['Torso & arm bitten']	['Swimming']	['N']	['M']	Winter
1930	Jul	11-Jul-30	USA	Florida	Jensen Beach, Martin County	Unprovoked	Tiger shark	1.0	['21']	['Arm lacerated from shoulder to wrist']	['Swimming']	['N']	['M']	Summer
1931	Jan	07-Jan-31	AUSTRALIA	Queensland	Yeppoon, near Ross Creek	Unprovoked	1.5 m [5'] shark	1.0	['18']	['Severe bump & few superficial wounds ']	['Swimming']	['N']	['M']	Winter
1931	Jul	Reported 28-Jul-1931	FIJI	Viti Levu Island	Tamavua River	Unprovoked	small sharks	1.0	[nan]	['Multiple injuries ']	['Swimming']	['N']	['M']	Summer
1931	Jun	13-Jun-31	USA	Hawaii	Pearl Harbor, O'ahu	Provoked	Tiger shark, 3 m [10']	1.0	[nan]	['Tip of finger amputated PROVOKED INCIDENT']	['Gaffing & attempting to bring onboard a harpooned shark']	['N']	['M']	Summer
1931	Jun	Reported 04-Jun-1931	USA	Florida	Key West, Monroe County 	Unprovoked	6' shark	1.0	[nan]	['Lacerations to fingers']	['Crabbing']	['N']	['M']	Summer
1931	Mar	06-Mar-31	AUSTRALIA	South Australia	Encounter Bay	Provoked	"1.8 m [6'] ""cocktail shark"	1.0	[nan]	['Finger lacerated, PROVOKED INCIDENT']	['Fishing, hauling in net, shark in net']	['N']	['M']	Spring
1931	May	02-May-31	AUSTRALIA	New South Wales	Kempsey	Boating	"""a school of sharks"""	1.0	[nan]	['No injury to occupants; oar & rudder bitten']	[nan]	['N']	[nan]	Spring
1931	Nov	26-Nov-31	AUSTRALIA	Torres Strait	Barrier Reef near Innisfail	Unprovoked	4 m [13'] shark	1.0	['45']	['Left foot acerated']	['Diving for trochus from lugger']	['N']	['M']	Autumn
1931	Sep	02-Sep-31	USA	Hawaii	Kahala, O'ahu	Invalid	5.5 m [18'] shark	1.0	[nan]	['Swept out to sea by strong currents, his remains found in shark caught off Barber�s Point']	['Fishing']	['Y']	['M']	Autumn
1931	Sep	21-Sep-31	USA	Florida	Municipal Beach, West Palm Beach, Palm Beach County	Unprovoked	Hammerhead shark, 2.4 m [8'], according to lifeguard Sam Barrows	1.0	['20']	['Right thigh & calf lacerated']	['Swimming ']	['N']	['F']	Autumn
1932	Aug	10-Aug-32	USA	New Jersey	Offshore, between Mantoloking & Point Pleasant, Ocean County	Provoked	16' 800-lb shark	1.0	[nan]	['Hooked shark gashed right leg      PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Summer
1932	Jan	11-Jan-32	AUSTRALIA	Victoria	Frankston	Boating	Grey nurse shark	1.0	[nan]	['No details']	['Fishing']	['UNKNOWN']	[nan]	Winter
1932	Jan	27-Jan-32	AUSTRALIA	Queensland	Ipswich	Unprovoked	A small shark	1.0	[nan]	['Thigh bitten']	['Swimming']	['N']	['M']	Winter
1932	Jul	02-Jul-32	CANADA	Bay of Fundy	16 km west of Digby Gut	Boating	Teeth in hull identified as those from a white shark 4.6 m [15'] in length	1.0	[nan]	['No injury to occupants, shark bumped boat repeatedly']	['Fishing, hauling in fishing gear']	['N']	['M']	Summer
1932	Jul	Reported 14-Jul-1932	USA	Texas	Galveston	Invalid	9' shark	1.0	['17']	['Body recovered  from shark but death due to shark bite was not confirmed']	[nan]	['Y']	['M']	Summer
1932	Jun	28-Jun-32	USA	New Jersey	10 miles offshore from Sea Isle City, Cape May County	Provoked	"250-lb ""dog shark"""	1.0	['32']	['Knee bitten by boated shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Summer
1932	Oct	31-Oct-32	AUSTRALIA	New South Wales	Redhead Beach, Newcastle	Unprovoked	Thought to involve a mako or grey nurse shark	2.0	['24']	['Torso bitten with pneumothorax, slight lacerations on left hand']	['Swimming']	['N']	['M']	Autumn
1933	Apr	10-Apr-33	USA	Florida	Miami Beach, Miami-Dade County	Unprovoked	Possibly a bull shark or tiger shark	1.0	['24']	['FATAL']	['Swimming']	['Y']	['M']	Spring
1933	Aug	28-Aug-33	USA	California	Hermosa Beach, Los Angeles County	Provoked	"Blue shark, 4.5 m [14'9""]"	2.0	[nan]	['Severely lacerated arm PROVOKED INCIDENT']	"[""Fishing, caught a 15' shark & took it onboard""]"	['N']	['M']	Summer
1933	Feb	12-Feb-33	AUSTRALIA	South Australia	Port River, Adelaide	Provoked	Blue shark	1.0	[nan]	['Forearm injured by hooked shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Winter
1933	Feb	26-Feb-33	AUSTRALIA	New South Wales	Sydney	Unprovoked	10' shark	1.0	[nan]	['Abrasions to legs']	['Standing on his hands']	['N']	['M']	Winter
1933	Feb	Reported 15-Feb-1933	AUSTRALIA	Torres Strait	Barrow Point, 100 miles north of Cooktown, Queensland	Unprovoked	4.4 m [14'] shark	1.0	[nan]	['Injuries to arm, shoulder & chest, took 2 days to reach hospital']	"[""Diving for trochus  from dinghy when seized by shark 6' below the surface""]"	['N']	['M']	Winter
1933	Jul	Reported 07-Jul-1933	USA	California	San Diego, San Diego County	Unprovoked	Tiger shark	1.0	['50']	['Survived']	[nan]	['N']	['M']	Summer
1933	Jun	21-Jun-33	USA	South Carolina	North end of Morris Island at mouth of Charleston Harbor	Unprovoked	Thought to involve a 2.4 m [8'] lemon shark; two 2.4 m lemon sharks caught within 100 yds of the site a week prior to & a week after this incident	1.0	['15']	['Right knee & left leg bitten']	"[""Sitting in 3' of water""]"	['N']	['M']	Summer
1933	May	23-May-33	AUSTRALIA	Queensland	Off Stradbroke Island	Provoked	7' to 8' shark	1.0	[nan]	['Laceration to lower leg by netted shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Spring
1933	Nov	18-Nov-33	AUSTRALIA	Queensland	Near Barrow Point	Unprovoked	Tiger shark	1.0	['17']	['Hand badly injured, right arm surgically amputated above wrist']	['Pearl diving']	['N']	['M']	Autumn
1933	Nov	20-Nov-33	AUSTRALIA	Torres Strait	Near Boydong Cay	Unprovoked	Tiger shark, 3.4 m [11'] 	1.0	[nan]	['FATAL, right buttock & thigh bitten ']	['Free diving for trochus ']	['Y']	['M']	Autumn
1934	Apr	01-Apr-34	AUSTRALIA	New South Wales	North Steyne	Unprovoked	4.3 m [14'] shark seen in vicinity	1.0	['15']	['FATAL, right leg lacerated']	['Swimming in waist-deep water ']	['Y']	['M']	Spring
1934	Aug	21-Aug-34	CROATIA	Adriatic Sea	Susak (Rijeka, Istria)	Unprovoked	White shark	1.0	['18']	['FATAL']	['Swimming']	['Y']	['F']	Summer
1934	Aug	27-Aug-34	ITALY	Sicily	Catania	Boating	White shark, 4 m [13'] 	1.0	[nan]	['No injury to occupants']	['Fishing on a boat']	['N']	['M']	Summer
1934	Dec	31-Dec-34	AUSTRALIA	New South Wales	George�s River at Kentucky	Unprovoked	Tiger shark, 1.5 m [5'] 	1.0	['13']	['Hands severed']	['Splashing']	['N']	['F']	Winter
1934	Feb	24-Feb-34	AUSTRALIA	Torres Strait	Adolphus Channel	Unprovoked	3.4 m [11']  tiger shark & a 5' shark	1.0	[nan]	['Lacerated knee & foot, deep puncture wounds']	['Splashing in water ']	['N']	['M']	Winter
1934	Jan	07-Jan-34	AUSTRALIA	New South Wales	Queenscliff	Unprovoked	4.3 m [14'] shark seen in area previous week	1.0	['22']	['Severely lacerated  right leg.  Later surgically amputated & survived despite gas gangrene']	['Swimming on sandbar adjacent to channel']	['N']	['M']	Winter
1934	Jul	11-Jul-34	AUSTRALIA	New South Wales	Cronulla	Boating	Blue pointer, 11' 	1.0	[nan]	['No injury to occupants Sharks continually followed the dinghy, and one smashed its rudder ']	['Fishing']	['N']	['N']	Summer
1934	Jun	  21-Jun-1934	AUSTRALIA	New South Wales	Off Mooloolabah	Provoked	"A 6.5' ""blue-nosed shark"""	1.0	[nan]	['Hand bitten while landing shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Summer
1934	Mar	12-Mar-34	AUSTRALIA	New South Wales	Dee Why, north of Queenscliff 	Unprovoked	4 m [13'] shark seen in vicinity	1.0	['17']	['FATAL, leg & buttocks removed ']	['Swimming in hip-deep water']	['Y']	['M']	Spring
1934	Mar	Mar-34	AUSTRALIA	New South Wales	Cronulla	Provoked	Mako shark, 3.7 m [12'] identified by tooth fragments by G.P. Whitley	1.0	[nan]	['No injury to occupants, hooked shark, snapped at rudder & then attacked boat PROVOKED INCIDENT']	['Fishing ']	['N']	[nan]	Spring
1934	Sep	08-Sep-34	BERMUDA	Hamilton	Nine miles off Frasconi Flats	Provoked	1.5 m [5'] shark	1.0	[nan]	['Right foot bitten by shark caught & taken onboard  by Mrs. Tucker North PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Autumn
1935	Apr	25-Apr-35	AUSTRALIA	New South Wales	Coogee	Invalid	Tiger shark	1.0	['40']	['Captive shark regurgitated his arm in the Coogee Aquarium']	['Disappeared 11 days earlier, probable homicide victim']	['N']	['M']	Spring
1935	Aug	24-Aug-35	UNITED KINGDOM	Isle of Wight	Atherfield	Invalid	possibly a porbeagle shark	1.0	[nan]	"[""The hooked shark didn't cut his finger, he was injured by his line""]"	['Fishing']	['N']	['M']	Summer
1935	Aug	26-Aug-35	AUSTRALIA	Queensland	At Flat Top, near Mackay	Unprovoked	3.7 m [12'] shark	1.0	['38']	['FATAL. His body was not recovered, but about 3 weeks later 2 sharks were caught with human remains, thought to be those of Quinn']	['Fell overboard, hanging onto lifebuoy']	['Y']	['M']	Summer
1935	Dec	23-Dec-35	AUSTRALIA	Victoria	150 yards from the pier at Lorne	Provoked	4.3 m [14'] shark	1.0	[nan]	"['Harpooned shark stove in bow (20"" x 10"" hole), boat sank PROVOKED INCIDENT']"	['Cruising']	['N']	[nan]	Winter
1935	Jan	17-Jan-35	AUSTRALIA	Queensland	Seaforth River, near MacKay	Invalid	10' shark	1.0	['5']	['No injury; onlookers saw shark heading for him and lifted him ashore']	[nan]	['N']	['M']	Winter
1935	Jan	24-Jan-35	AUSTRALIA	New South Wales	Off Ben Buckler, near Sydney	Unprovoked	Tiger shark, 12' 	1.0	[nan]	['No injury, sleeve ripped']	['Fishing']	['N']	['M']	Winter
1935	Jan	24-Jan-35	AUSTRALIA	Queensland	Ross River, Townsville	Boating	2 sharks	1.0	[nan]	['No injury to occupants']	['Fishing for sharks']	['N']	[nan]	Winter
1935	Jun	18-Jun-35	USA	New Jersey	50 miles offshore	Unprovoked	4.6 m [15'] shark	1.0	['31']	['Arm lacerated by a shark that leapt onto boat ']	['Fishing for bluefish, shark leapt into dory']	['N']	['M']	Summer
1935	Mar	02-Mar-35	AUSTRALIA	New South Wales	North Narrabeen Beach	Unprovoked	White shark, 3.5 m to 4 m [11.5' to 13'] 	1.0	['22']	['FATAL, thigh bitten ']	['Standing']	['Y']	['M']	Spring
1935	Mar	09-Mar-35	AUSTRALIA	New South Wales	Maroubra Beach	Unprovoked	White shark, 4 m [13'] 	1.0	['27']	['FATAL, left thigh, buttock, left forearm bitten, finger removed  ']	['Swimming']	['Y']	['M']	Spring
1935	Mar	13-Mar-35	AUSTRALIA	Queensland	Pimpana River	Provoked	"""Blue nose shark"""	1.0	['38']	['Calf & shin bitten  PROVOKED INCIDENT']	['Hauling in net with shark in it']	['N']	['M']	Spring
1935	Mar	20-Mar-35	AUSTRALIA	Torres Strait	Three Mile Reef off Lizard Island 50 miles north of Cooktown	Unprovoked	Tiger shark 3 m  [10'] 	1.0	[nan]	['Left thigh abraded & 3 fingers lacerated']	['Pearl diving, but standing in the water']	['N']	['M']	Spring
1935	May	12-May-35	AUSTRALIA	Torres Strait	On edge of reef near Warrior Island	Unprovoked	1.8 m [6'] shark	1.0	[nan]	['3 gashes on hand & wrist']	['Pearl diving']	['N']	['M']	Spring
1935	May	19-May-35	SOUTH AFRICA	KwaZulu-Natal	North Pier, Durban	Provoked	White shark, 246-kg 	1.0	[nan]	['Foot bitten, required 1 week hospitalization PROVOKED INCIDENT']	['Put foot inside a landed & supposedly dead shark']	['N']	['M']	Spring
1936	Apr	22-Apr-36	AUSTRALIA	Queensland	Arlington Reef near Cairns	Unprovoked	Tiger shark, 4.6 m [15'] 	2.0	['16']	['Arm & back bitten, heel lacerated']	['Diving for trochus']	['N']	['M']	Spring
1936	Aug	11-Aug-36	CANADA	Newfoundland	Georges Bank	Provoked	Shovelnose shark, 6 m [20'] 	1.0	[nan]	['No injury to occupants, hooked shark leapt onboard boat PROVOKED INCIDENT']	['Fishing for cod']	['N']	[nan]	Summer
1936	Aug	24-Aug-36	AUSTRALIA	Torres Strait	Near Mabuiag Island	Unprovoked	Large tiger shark seen in the vicinity the following morning	1.0	[nan]	['Flexed right leg bitten']	['Trochus diving, but floating on surface']	['N']	['M']	Summer
1936	Dec	01-Dec-36	AUSTRALIA	Victoria	Mordialloc	Boating	Thought to involve a 12' white shark	1.0	['50']	"[""FATAL, his 2.4 m dinghy was found with 2' x 3' hole in its side & tooth fragments embedded in the planking""]"	['Fishing']	['Y']	['M']	Winter
1936	Dec	19-Dec-36	AUSTRALIA	Queensland	Brisbane River	Boating	3 m [10'] shark	1.0	[nan]	['No injury to occupant. Shark damaged scull, tooth fragments recovered']	['Sculling']	['N']	[nan]	Winter
1936	Dec	30-Dec-36	USA	Hawaii	Honokohau, Maui	Unprovoked	6 m [20']  shark	1.0	[nan]	['Thigh lacerated']	['Diving, attempting to retrieve body of drowning victim wedged between rocks']	['N']	['M']	Winter
1936	Feb	04-Feb-36	AUSTRALIA	New South Wales	South Steyne, Manly	Unprovoked	White shark	1.0	['14']	['FATAL, taken by shark, body not recovered. Twenty months later, in October 1937, meshing (setting anti-shark gill nets) began  at metropolitan beaches']	['Swimming']	['Y']	['M']	Winter
1936	Feb	Reported 20-Feb-1936	AUSTRALIA	Queensland	Brisbane River	Unprovoked	10' shark	2.0	[nan]	['No injury, scull sank']	['Sculling']	['N']	['M']	Winter
1936	Jan	05-Jan-36	AUSTRALIA	Queensland	Main Beach, Southport	Invalid	Shark involvement prior to death was not confirmed	1.0	['17']	['Disappeared & his torn clothing washed ashore']	['Surfing']	['N']	['M']	Winter
1936	Jan	22-Jan-36	AUSTRALIA	South Australia	West Beach, near Adelaide	Unprovoked	White shark	1.0	['13']	['FATAL ']	['Swimming. Passer-by, Len Bedford, heard him shriek , saw shark leap from the water & swimmer disappeared']	['Y']	['M']	Winter
1936	Jan	Jan-36	AUSTRALIA	New South Wales	North Bondi	Provoked	2.3 m [7'] shark	1.0	[nan]	['He tried to hit shark with paddle, shark bumped  ski  PROVOKED INCIDENT']	['Paddleskiing']	['N']	['M']	Winter
1936	Jul	12-Jul-36	USA	New Jersey	Long Branch, Monmouth County (offshore)	Boating	Blue shark, 8' [2.4 m], 500-lb 	2.0	[nan]	['No injury to occupants, shark leapt onboard boat']	['Fishing for bluefish']	['N']	[nan]	Summer
1936	Jul	25-Jul-36	USA	Massachusetts	Hollywood Beach, just above Mattapoisett Harbor, Buzzards Bay	Unprovoked	White shark (identified by Dr. Hugh Smith) 	2.0	['16']	['FATAL, finger severed, thigh bitten He died during the surgical amputation of his leg   ']	['Swimming crawl stroke']	['Y']	['M']	Summer
1936	Jun	26-Jun-36	AUSTRALIA	Torres Strait	Nepean Island	Unprovoked	Tiger shark, 2.4 m [8']	1.0	['16']	['FATAL']	['Diving for trochus , but swimming on surface']	['Y']	['M']	Summer
1936	Mar	30-Mar-36	USA	Florida	Miami, Miami-Date County	Provoked	650-lb shark	1.0	[nan]	"[""No injury. His hand entangled in line of hooked shark. He was pulled overboard & towed 150' PROVOKED INCIDENT ""]"	['Fishing']	['N']	['M']	Spring
1936	Nov	27-Nov-36	AUSTRALIA	Torres Strait	Near Thursday Island	Provoked	0.9 m [3']  shark	1.0	[nan]	['Speared shark bit his hand PROVOKED INCIDENT']	['Spearfishing ']	['N']	['M']	Autumn
1937	Aug	31-Aug-37	AUSTRALIA	Torres Strait	Mabuiag Island, between New Guinea & Australia	Unprovoked	Tiger shark, 9' to 10' 	1.0	['38']	['Head, neck & shoulder bitten (In 1918, he was also bitten by a shark off Cairns)']	['Diving from the lugger San, operated by the Protector of the Aborigines']	['N']	['M']	Summer
1937	Feb	03-Feb-37	AUSTRALIA	Queensland	Moreton Island	Provoked	"3' ""blue nosed"" shark"	1.0	['20']	['Left shoulder bitten by netted shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Winter
1937	Feb	13-Feb-37	AUSTRALIA	New South Wales	Bar Beach, Newcastle	Unprovoked	White shark	1.0	['32']	['FATAL, buttocks, ankle & right elbow bitten ']	['Swimming']	['Y']	['M']	Winter
1937	Jan	27-Jan-37	AUSTRALIA	New South Wales	Lake Conjola, near Milton	Provoked	Grey nurse shark, 8'	1.0	['18']	['Bitten on forearm PROVOKED INCIDENT']	"[""Holding shark's tail ""]"	['N']	['M']	Winter
1937	Jun	15-Jun-37	AUSTRALIA	New South Wales	Wallamba River, near entrance to Wallis Lake	Provoked	Whaler shark, 4 m [13'] 	1.0	[nan]	['Bitten by netted shark PROVOKED INCIDENT']	['Fishing from launch, fell into net with shark']	['N']	['M']	Summer
1937	May	15-May-37	AUSTRALIA	Queensland	Ross River, Townsville	Unprovoked	2 days later a 600-lb shark was caught 100 yards from the site	1.0	['33']	['FATAL, left arm severed at elbow, right arm bitten, right leg severed at knee    ']	['Refused permission to cross on the ferry, he was swimming across the river']	['Y']	['M']	Spring
1937	May	30-May-37	USA	Texas	Galveston	Provoked	4' shark	1.0	[nan]	['Leg nipped by hooked shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Spring
1937	Nov	11-Nov-37	AUSTRALIA	Torres Strait 	Ota Reef	Unprovoked	12' shark	1.0	['17']	['FATAL']	['Diving for trochus']	['Y']	['M']	Autumn
1937	Oct	24-Oct-37	AUSTRALIA	New South Wales	Byron Bay 	Unprovoked	2.4 m [8'] shark	1.0	['16']	['Tooth imprints on torso']	['Swimming near jetty']	['N']	['M']	Autumn
1937	Oct	24-Oct-37	AUSTRALIA	New South Wales	Byron Bay 	Unprovoked	2.6 m [8.5'] shark	1.0	[nan]	['No injury, repulsed shark']	['Surf skiing']	['N']	['M']	Autumn
1937	Oct	27-Oct-37	AUSTRALIA	Queensland	Kirra Beach, Coolangatta	Unprovoked	"Tiger shark,  3.6 m [11'9""], 850-kg [1874-lb] female, contained Girvan's remains "	1.0	['18']	['FATAL']	['Swimming ']	['Y']	['M']	Autumn
1937	Oct	27-Oct-37	AUSTRALIA	Queensland 	Kirra Beach, Coolangatta	Unprovoked	Tiger shark	1.0	['25']	['FATAL']	['Swimming ']	['Y']	['M']	Autumn
1937	Sep	01-Sep-37	SCOTLAND	Argyll	Carradale Bay, Kintyre Peninsula	Unprovoked	Basking shark	1.0	[nan]	['3 people drowned when the boat was capsized by the shark']	['Rowing']	['N']	['M']	Autumn
1937	Sep	11-Sep-37	SCOTLAND	Arran	Fallen Rocks	Boating	Basking shark	1.0	[nan]	['No injury to occupants, propeller shaft damaged']	['Fishing']	['N']	[nan]	Autumn
1937	Sep	12-Sep-37	SCOTLAND	Argyllshire	Arran	Boating	Basking shark	1.0	[nan]	['No injury to occupants, two 5-foot observation windows shattered']	['Pleasure boating']	['N']	[nan]	Autumn
1938	Jan	14-Jan-38	AUSTRALIA	New South Wales	Lady Martin�s Beach, Sydney Harbor	Unprovoked	Questionable incident	1.0	['24']	['Superficial lacerations on feet & toes']	['Diving off jetty']	['N']	['M']	Winter
1938	Jan	21-Jan-38	AUSTRALIA	New South Wales	Tweed Heads	Provoked	 Tiger shark, 3'	1.0	[nan]	['Thumb bitten by landed shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Winter
1938	Jun	08-Jun-38	AUSTRALIA	New South Wales	Manly	Unprovoked	6' shark	1.0	[nan]	['No injury, the shark knocked him off his feet']	['Hardhat diving']	['N']	['M']	Summer
1938	May	15-May-38	IRAQ	Basrah City	Ashar Canal, where people wash clothes & kitchen pans	Unprovoked	Bull shark	1.0	['9 or 10']	['Arm severed, but survived. Note: Some weeks later he was swimming at the same spot when a shark severed his right foot.']	['Swimming, naked']	['N']	['M']	Spring
